,0
11757.G440305220,55286.0
11757.G441424584,55281.0
11757.G441303630,55233.0
11757.G441303268,55168.0
11757.G441303589,55152.0
11757.G440981186,55143.0
11757.G440282118,55137.0
11757.G440205489,55105.0
11757.G440305142,55090.0
11757.G440883039,55049.0
11757.G441802090,55044.0
11757.G440305396,55041.0
11757.G440883292,55027.0
11757.G445224229,55006.0
11757.G445302628,54998.0
11757.G440305452,54991.0
11757.G440104454,54981.0
11757.G440606517,54927.0
11757.G445224175,54921.0
11757.G445302530,54920.0
11757.G440104410,54916.0
11757.G440981212,54878.0
11757.G440104031,54854.0
11757.G440305212,54839.0
11757.G440282602,54834.0
11757.G441303049,54740.0
11757.G440305327,54732.0
11757.G441502553,54718.0
11757.G440981135,54709.0
11757.G441502066,54694.0
11757.G440883444,54680.0
11757.G445302186,54674.0
11757.G441303390,54634.0
11757.G440305175,54622.0
11757.G441303501,54585.0
11757.G440282158,54565.0
11757.G445224456,54561.0
11757.G440883527,54558.0
11757.G441502210,54553.0
11757.G440205367,54548.0
11757.G440981517,54539.0
11757.G441502578,54503.0
11757.G440282127,54445.0
11757.G445224236,54365.0
11757.G440305697,54331.0
11757.G445302035,54276.0
11757.G445302425,54264.0
11757.G441303533,54260.0
11757.G441502561,54257.0
11757.G440104045,54249.0
11757.G440282128,54205.0
11757.G441502441,54168.0
11757.G440104041,54146.0
11757.G441284496,54120.0
11757.G440305247,54115.0
11757.G445302424,54102.0
11757.G440981519,54102.0
11757.G440205061,54097.0
11757.G441284351,54038.0
11757.G440606434,53993.0
11757.G441802016,53927.0
11757.G440104235,53912.0
11757.G440981487,53911.0
11757.G445302084,53879.0
11757.G440282227,53873.0
11757.G440104201,53869.0
11757.G440104524,53857.0
11757.G441284552,53851.0
11757.G441303625,53847.0
11757.G441284443,53828.0
11757.G441502570,53766.0
11757.G441802002,53744.0
11757.G440305217,53741.0
11757.G445224094,53740.0
11757.G440282468,53719.0
11757.G440205050,53701.0
11757.G440981532,53619.0
11757.G441502146,53605.0
11757.G440104095,53601.0
11757.G440104398,53597.0
11757.G441284261,53558.0
11757.G440883531,53545.0
11757.G440981510,53542.0
11757.G441802055,53489.0
11757.G440981048,53450.0
11757.G441284536,53391.0
11757.G440205413,53391.0
11757.G440104033,53341.0
11757.G440883314,53335.0
11757.G441802536,53312.0
11757.G441424533,53292.0
11757.G440282565,53248.0
11757.G445302491,53214.0
11757.G440305511,53212.0
11757.G440282296,53129.0
11757.G441424524,53127.0
11757.G441502040,53114.0
11757.G440305334,53106.0
11757.G445302601,53099.0
11757.G441502549,53079.0
11757.G440282104,53075.0
11757.G445224500,53074.0
11757.G440305383,53034.0
11757.G440282098,53029.0
11757.G441303522,53004.0
11757.G440883459,52978.0
