,0
550.L6S162.s.6.sequence,27677.0
550.L4S266.s.4.sequence,27676.0
550.L6S125.s.6.sequence,27673.0
550.L4S286.s.4.sequence,27658.0
550.L4S149.s.4.sequence,27654.0
550.L6S319.s.6.sequence,27625.0
550.L1S246.s.1.sequence,27614.0
550.L1S369.s.1.sequence,27596.0
550.L4S214.s.4.sequence,27592.0
550.L1S133.s.1.sequence,27583.0
550.L1S366.s.1.sequence,27563.0
550.L6S187.s.6.sequence,27556.0
550.L1S138.s.1.sequence,27540.0
550.L6S2.s.6.sequence,27534.0
550.L6S216.s.6.sequence,27521.0
550.L6S314.s.6.sequence,27518.0
550.L6S80.s.6.sequence,27514.0
550.L1S206.s.1.sequence,27513.0
550.L2S91.s.2.sequence,27513.0
550.L1S161.s.1.sequence,27501.0
550.L1S282.s.1.sequence,27490.0
550.L1S104.s.1.sequence,27481.0
550.L4S269.s.4.sequence,27466.0
550.L2S15.s.2.sequence,27415.0
550.L6S49.s.6.sequence,27413.0
550.L1S316.s.1.sequence,27401.0
550.L4S116.s.4.sequence,27367.0
550.L6S226.s.6.sequence,27367.0
550.L6S240.s.6.sequence,27366.0
550.L4S132.s.4.sequence,27325.0
550.L6S131.s.6.sequence,27324.0
550.L6S312.s.6.sequence,27322.0
550.L1S249.s.1.sequence,27318.0
550.L2S21.s.2.sequence,27314.0
550.L2S55.s.2.sequence,27313.0
550.L6S307.s.6.sequence,27308.0
550.L1S326.s.1.sequence,27302.0
550.L6S185.s.6.sequence,27290.0
550.L6S227.s.6.sequence,27266.0
550.L6S13.s.6.sequence,27264.0
550.L6S48.s.6.sequence,27247.0
550.L2S3.s.2.sequence,27245.0
550.L6S206.s.6.sequence,27223.0
550.L6S82.s.6.sequence,27219.0
550.L4S198.s.4.sequence,27216.0
550.L1S236.s.1.sequence,27202.0
550.L6S14.s.6.sequence,27197.0
550.L1S237.s.1.sequence,27172.0
550.L6S193.s.6.sequence,27151.0
550.L6S25.s.6.sequence,27146.0
550.L6S229.s.6.sequence,27141.0
550.L6S150.s.6.sequence,27135.0
550.L2S20.s.2.sequence,27119.0
550.L4S43.s.4.sequence,27111.0
550.L6S158.s.6.sequence,27104.0
550.L1S327.s.1.sequence,27077.0
550.L1S122.s.1.sequence,27063.0
550.L1S233.s.1.sequence,27062.0
550.L1S89.s.1.sequence,27060.0
550.L4S258.s.4.sequence,27054.0
550.L1S267.s.1.sequence,27039.0
550.L6S308.s.6.sequence,27038.0
550.L2S92.s.2.sequence,27034.0
550.L6S47.s.6.sequence,27019.0
550.L2S33.s.2.sequence,27015.0
550.L4S256.s.4.sequence,26992.0
550.L1S149.s.1.sequence,26943.0
550.L4S155.s.4.sequence,26908.0
550.L6S56.s.6.sequence,26893.0
550.L6S84.s.6.sequence,26882.0
550.L4S254.s.4.sequence,26837.0
550.L2S17.s.2.sequence,26829.0
